,ID,DATE,COUNTRY,DAYS,GROUP
107,V408,1930-09-11,ITALY,0,53
108,T1676,1930-09-11,ITALY,0.0,53
109,V413,1933-01-08,RUSSIA,0,54
110,T1707,1933-01-08,RUSSIA,0.0,54
111,V414,1933-12-24,JAPAN,0,55
112,T1716,1933-12-25,PHILIPPINES,1.0,55
113,V415,1933-12-25,PHILIPPINES,0,56
114,T1716,1933-12-25,PHILIPPINES,0.0,56
115,V418,1937-05-29,PAPUA NEW GUINEA,0,57
116,T1746,1937-05-29,PAPUA NEW GUINEA,0.0,57
117,V419,1938-01-28,CONGO,0,58
118,T1752,1938-01-28,CONGO,0.0,58
119,V420,1938-06-05,PHILIPPINES,0,59
120,T1762,1938-06-10,JAPAN,5.0,59
121,V433,1944-08-20,ITALY,0,60
122,T1806,1944-08-20,ITALY,0.0,60
123,V443,1949-01-01,CHILE,0,61
124,T1834,1948-12-26,CHILE,6.0,61
125,V448,1951-08-03,NICARAGUA,0,62
126,T1864,1951-08-03,NICARAGUA,0.0,62
127,V451,1952-09-16,JAPAN,0,63
128,T1878,1952-09-16,JAPAN,0.0,63
129,T1879,1952-09-23,JAPAN,7.0,63
130,V452,1952-09-23,JAPAN,0,64
131,T1878,1952-09-16,JAPAN,7.0,64
132,T1879,1952-09-23,JAPAN,0.0,64
133,T1880,1952-09-24,JAPAN,1.0,64
134,T1881,1952-09-26,JAPAN,3.0,64
135,V453,1952-09-24,JAPAN,0,65
136,T1879,1952-09-23,JAPAN,1.0,65
137,T1880,1952-09-24,JAPAN,0.0,65
138,T1881,1952-09-26,JAPAN,2.0,65
139,V454,1952-09-26,JAPAN,0,66
140,T1879,1952-09-23,JAPAN,3.0,66
141,T1880,1952-09-24,JAPAN,2.0,66
142,T1881,1952-09-26,JAPAN,0.0,66
143,V456,1953-03-11,JAPAN,0,67
144,T1887,1953-03-11,JAPAN,0.0,67
145,T1888,1953-03-17,RUSSIA,6.0,67
146,V458,1953-03-25,JAPAN,0,68
147,T1889,1953-03-25,JAPAN,0.0,68
148,V460,1953-06-27,PAPUA NEW GUINEA,0,69
149,T1893,1953-06-27,PAPUA NEW GUINEA,0.0,69
150,V468,1956-03-30,RUSSIA,0,70
151,T1915,1956-03-30,RUSSIA,0.0,70
152,V470,1957-06-25,INDONESIA,0,71
153,T1922,1957-06-22,INDONESIA,3.0,71
154,V474,1958-10-07,VANUATU,0,72
155,T1935,1958-10-07,VANUATU,0.0,72
156,V475,1960-05-25,CHILE,0,73
157,T1952,1960-05-21,CHILE,4.0,73
158,T1953,1960-05-22,CHILE,3.0,73
159,T1954,1960-05-24,CHILE,1.0,73
160,V477,1961-08-18,JAPAN,0,74
161,T1971,1961-08-11,JAPAN,7.0,74
162,V490,1965-09-28,PHILIPPINES,0,75
163,T2018,1965-09-28,PHILIPPINES,0.0,75
164,V498,1967-12-04,ANTARCTICA,0,76
165,T2037,1967-12-04,ANTARCTICA,0.0,76
166,V503,1969-03-21,PHILIPPINES,0,77
167,T2058,1969-03-21,PHILIPPINES,0.0,77
168,V506,1971-09-06,SOLOMON ISLANDS,0,78
169,T2087,1971-09-06,SOLOMON ISLANDS,0.0,78
170,V511,1972-10-09,PAPUA NEW GUINEA,0,79
171,T2101,1972-10-09,PAPUA NEW GUINEA,0.0,79
172,V522,1974-10-17,PAPUA NEW GUINEA,0,80
173,T2119,1974-10-17,PAPUA NEW GUINEA,0.0,80
174,V533,1978-01-13,JAPAN,0,81
175,T2143,1978-01-14,JAPAN,1.0,81
176,V552,1983-08-17,INDONESIA,0,82
177,T2201,1983-08-17,PHILIPPINES,0.0,82
178,T2202,1983-08-17,INDONESIA,0.0,82
179,V563,1987-12-01,INDONESIA,0,83
180,T2236,1987-11-26,INDONESIA,5.0,83
181,V568,1990-02-10,INDONESIA,0,84
182,T2254,1990-02-08,PHILIPPINES,2.0,84
183,V578,1992-05-11,INDONESIA,0,85
184,T2272,1992-05-17,PHILIPPINES,6.0,85
185,V579,1992-07-12,PHILIPPINES,0,86
186,T2275,1992-07-18,JAPAN,6.0,86
187,V582,1993-02-02,PHILIPPINES,0,87
188,T2279,1993-02-07,JAPAN,5.0,87
189,V588,1994-09-19,PAPUA NEW GUINEA,0,88
190,T2298,1994-09-19,PAPUA NEW GUINEA,0.0,88
191,V591,1996-01-02,RUSSIA,0,89
192,T2325,1996-01-02,RUSSIA,0.0,89
193,V596,1997-04-17,INDONESIA,0,90
194,T2339,1997-04-18,AUSTRALIA,1.0,90
195,V599,1997-12-26,MONTSERRAT,0,91
196,T2346,1997-12-26,MONTSERRAT,0.0,91
197,V601,1999-01-20,MONTSERRAT,0,92
198,T2352,1999-01-20,MONTSERRAT,0.0,92
199,V603,1999-08-15,RUSSIA,0,93
200,T2353,1999-08-17,TURKEY,2.0,93
201,V604,2000-06-27,JAPAN,0,94
202,T2360,2000-07-01,JAPAN,4.0,94
203,V611,2002-12-30,ITALY,0,95
204,T2377,2002-12-30,ITALY,0.0,95
205,V612,2003-07-12,MONTSERRAT,0,96
206,T2382,2003-07-12,MONTSERRAT,0.0,96
207,V618,2006-05-20,MONTSERRAT,0,97
208,T2409,2006-05-20,MONTSERRAT,0.0,97
209,V621,2006-07-13,PHILIPPINES,0,98
210,T2410,2006-07-17,INDONESIA,4.0,98
211,V639,2010-10-26,INDONESIA,0,99
212,T2470,2010-10-25,INDONESIA,1.0,99
213,V654,2012-12-12,RUSSIA,0,100
214,T2501,2012-12-07,JAPAN,5.0,100
215,V670,2015-05-07,INDONESIA,0,101
216,T2530,2015-05-05,PAPUA NEW GUINEA,2.0,101
