NUM;ID;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;DATE;DAT
E_HOUR;EVENT_VALIDITY;CAUSE_CODE;FOCAL_DEPTH;PRIMARY_MAGNITUDE;COUNTRY;STATE;LOCATION_NAME;LATITUDE;LONGITUDE;REGION_CODE;MAXIMUM_WATER_HEIGHT;ABE;IIDA;SOLOVIEV;WARNING_STATUS;DEATHS;DEATHS_DESCRIPTION;MISSING;MISSING_DESCRIPTION;INJURIES;INJURIES_DESCRIPTION;DAMAGE_MILLIONS_DOLLARS;DAMAGE_DESCRIPTION;HOUSES_DESTROYED;HOUSES_DESTROYED_DESCRIPTION;HOUSES_DAMAGED;HOUSES_DAMAGED_DESCRIPTION;TOTAL_DEATHS;TOTAL_DEATHS_DESCRIPTION;TOTAL_MISSING;TOTAL_MISSING_DESCRIPTION;TOTAL_INJURIES;TOTAL_INJURIES_DESCRIPTION;TOTAL_DAMAGE_MILLIONS_DOLLARS;TOTAL_DAMAGE_DESCRIPTION;TOTAL_HOUSES_DESTROYED;TOTAL_HOUSES_DESTROYED_DESCRIPTION;TOTAL_HOUSES_DAMAGED;TOTAL_HOUSES_DAMAGED_DESCRIPTION
3427;T38;258;;;;;;;;0;1;;;ITALY;;TYRRHENIAN SEA;41,9;12,45;50;;;;4;;;;;;;;;;;;;;;;;;;;;3;1001;4;;
31;T39;262;;;;;;;;1;1;;;TURKEY;;SOUTH COASTS OF ASIA MINOR;36,6;30;50;;;;4;;;3;;;;;;;;;;;;3;;;;;;2;;3;;
32;T40;315;;;;;;;;1;1;;;DEAD SEA;;DEAD SEA;31,7;35,5;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
34;T41;342;;;;;;;;-1;1;;;Cyprus;;CYPRUS;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;T42;344;;;;;;;;-1;1;;;TURKEY;;MARMARA SEA, DARDANELLES;40,3;26,5;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3474;T43;346;;;;;;;;1;1;;6,8;ALBANIA;;ADRIATIC SEA;41,4;19,4;50;;;;;;;;;;;;;1;;1;;;;;;;;;;2;;3;;
36;T44;348;;;;;;;;1;1;;4,1;TURKEY;;LEVANTIAN SEA;33,9;35,5;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
2314;T45;358;8;24;;;;358/8/24;;1;1;;;TURKEY;;MARMARA SEA;40,77;29,9;50;;;;;;;;;;;;;;;;;;;3;;;;;;3;;3;;
37;T46;362;5;24;;;;362/5/24;;2;1;;;JORDAN;;DEAD SEA;31,3;35,6;50;;;;3;;;;;;;;;3;;;;;;;;;;;;3;;;;
38;T47;365;7;21;;;;365/7/21;;4;1;70;8;GREECE;;CRETE;35;23;50;;;;4;;5000;4;;;;;;4;;3;;;5000;4;;;;;;4;;3;;
3475;T48;368;;;;;;;;2;1;;6,4;TURKEY;;MARMARA SEA;40,5;29,6;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4273;T49;382;;;;;;;;1;1;;;PORTUGAL;;CABO SAN VICENTE;36;-10,83;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2315;T50;407;4;1;;;;407/4/1;;1;1;;6,6;TURKEY;;MARMARA SEA;41;29;50;;;;4;;;;;;;;;1;;;;;;;;;;;;1;;;;
39;T51;416;;;;;;;;2;6;;;INDONESIA;;JAVA-S. JAVA;-6,102;105,423;60;;;2;3,5;;;3;;;;;;4;;;;;;3;;;;;;4;;;;
40;T52;426;;;;;;;;-1;1;;;GREECE;;GULF OF EUBOEA;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;T53;447;1;26;;;;447/1/26;;1;1;;7,3;TURKEY;;MARMARA SEA;40,9;28,5;50;;;;4;;;;;;;;;;;;;;;3;;;;;;3;;3;;
4294;T54;450;1;26;;;;450/1/26;;1;1;;7;TURKEY;;MARMARA SEA;40,4;28,4;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
