,ID,DATE,COUNTRY,DAYS,GROUP
107,V418,1937-05-29,PAPUA NEW GUINEA,0,53
108,T1746,1937-05-29,PAPUA NEW GUINEA,0.0,53
109,V419,1938-01-28,CONGO,0,54
110,T1752,1938-01-28,CONGO,0.0,54
111,V433,1944-08-20,ITALY,0,55
112,T1806,1944-08-20,ITALY,0.0,55
113,V443,1949-01-01,CHILE,0,56
114,T1834,1948-12-26,CHILE,6.0,56
115,V448,1951-08-03,NICARAGUA,0,57
116,T1864,1951-08-03,NICARAGUA,0.0,57
117,V451,1952-09-16,JAPAN,0,58
118,T1878,1952-09-16,JAPAN,0.0,58
119,T1879,1952-09-23,JAPAN,7.0,58
120,V452,1952-09-23,JAPAN,0,59
121,T1878,1952-09-16,JAPAN,7.0,59
122,T1879,1952-09-23,JAPAN,0.0,59
123,T1880,1952-09-24,JAPAN,1.0,59
124,T1881,1952-09-26,JAPAN,3.0,59
125,V453,1952-09-24,JAPAN,0,60
126,T1879,1952-09-23,JAPAN,1.0,60
127,T1880,1952-09-24,JAPAN,0.0,60
128,T1881,1952-09-26,JAPAN,2.0,60
129,V454,1952-09-26,JAPAN,0,61
130,T1879,1952-09-23,JAPAN,3.0,61
131,T1880,1952-09-24,JAPAN,2.0,61
132,T1881,1952-09-26,JAPAN,0.0,61
133,V456,1953-03-11,JAPAN,0,62
134,T1887,1953-03-11,JAPAN,0.0,62
135,V458,1953-03-25,JAPAN,0,63
136,T1889,1953-03-25,JAPAN,0.0,63
137,V460,1953-06-27,PAPUA NEW GUINEA,0,64
138,T1893,1953-06-27,PAPUA NEW GUINEA,0.0,64
139,V468,1956-03-30,RUSSIA,0,65
140,T1915,1956-03-30,RUSSIA,0.0,65
141,V470,1957-06-25,INDONESIA,0,66
142,T1922,1957-06-22,INDONESIA,3.0,66
143,V474,1958-10-07,VANUATU,0,67
144,T1935,1958-10-07,VANUATU,0.0,67
145,V475,1960-05-25,CHILE,0,68
146,T1952,1960-05-21,CHILE,4.0,68
147,T1953,1960-05-22,CHILE,3.0,68
148,T1954,1960-05-24,CHILE,1.0,68
149,V477,1961-08-18,JAPAN,0,69
150,T1971,1961-08-11,JAPAN,7.0,69
151,V490,1965-09-28,PHILIPPINES,0,70
152,T2018,1965-09-28,PHILIPPINES,0.0,70
153,V498,1967-12-04,ANTARCTICA,0,71
154,T2037,1967-12-04,ANTARCTICA,0.0,71
155,V503,1969-03-21,PHILIPPINES,0,72
156,T2058,1969-03-21,PHILIPPINES,0.0,72
157,V506,1971-09-06,SOLOMON ISLANDS,0,73
158,T2087,1971-09-06,SOLOMON ISLANDS,0.0,73
159,V511,1972-10-09,PAPUA NEW GUINEA,0,74
160,T2101,1972-10-09,PAPUA NEW GUINEA,0.0,74
161,V522,1974-10-17,PAPUA NEW GUINEA,0,75
162,T2119,1974-10-17,PAPUA NEW GUINEA,0.0,75
163,V533,1978-01-13,JAPAN,0,76
164,T2143,1978-01-14,JAPAN,1.0,76
165,V552,1983-08-17,INDONESIA,0,77
166,T2202,1983-08-17,INDONESIA,0.0,77
167,V563,1987-12-01,INDONESIA,0,78
168,T2236,1987-11-26,INDONESIA,5.0,78
169,V588,1994-09-19,PAPUA NEW GUINEA,0,79
170,T2298,1994-09-19,PAPUA NEW GUINEA,0.0,79
171,V591,1996-01-02,RUSSIA,0,80
172,T2325,1996-01-02,RUSSIA,0.0,80
173,V599,1997-12-26,MONTSERRAT,0,81
174,T2346,1997-12-26,MONTSERRAT,0.0,81
