ID;DATE;COUNTRY
V370;1913/3/14;INDONESIA
V371;1913/6/23;INDONESIA
V372;1913/12/6;VANUATU
V373;1914/1/12;JAPAN
V374;1914/1/18;PAPUA NEW GUINEA
V375;1914/9/10;NEW ZEALAND
V376;1916/3/3;ECUADOR
V377;1916/7/3;ITALY
V378;1917/1/1;TANZANIA
V379;1917/4/1;NEW ZEALAND
V381;1917/6/7;EL SALVADOR
V382;1918/7/18;INDONESIA
V383;1918/10/12;ICELAND
V384;1919/2/19;MEXICO
V385;1919/4/3;INDONESIA
V386;1919/5/19;INDONESIA
V387;1919/5/22;ITALY
V388;1919/9/29;UNITED STATES
V389;1920/7/25;INDONESIA
V390;1920/10/29;EL SALVADOR
V391;1923/3/11;INDONESIA
V392;1923/7/1;JAPAN
V393;1924/5/10;UNITED STATES
V394;1926/5/24;JAPAN
V395;1927/8/7;INDONESIA
V396;1927/9/5;ICELAND
V397;1928/1/23;GREECE
V399;1928/3/28;INDONESIA
V400;1928/5/13;INDONESIA
V401;1928/8/4;INDONESIA
V402;1928/11/2;ITALY
V403;1929/1/6;CHILE
V404;1929/6/17;JAPAN
V406;1930/3/17;INDONESIA
V407;1930/8/20;JAPAN
V408;1930/9/11;ITALY
V409;1930/11/25;INDONESIA
V410;1931/8/20;JAPAN
V411;1932/1/21;GUATEMALA
V412;1932/10/1;JAPAN
V413;1933/1/8;RUSSIA
V414;1933/12/24;JAPAN
V415;1933/12/25;PHILIPPINES
V417;1937/2/9;CHILE
V418;1937/5/29;PAPUA NEW GUINEA
V419;1938/1/28;CONGO
V420;1938/6/5;PHILIPPINES
V421;1939/8/17;JAPAN
V422;1939/10/13;INDONESIA
V423;1940/6/20;INDONESIA
V424;1940/7/12;JAPAN
V425;1940/7/24;TANZANIA
V426;1941/7/13;JAPAN
V427;1941/9/21;INDONESIA
V428;1943/2/20;MEXICO
V429;1943/4/13;ECUADOR
V430;1944/3/27;ITALY
V431;1944/6/10;UNITED STATES
V432;1944/6/23;JAPAN
V433;1944/8/20;ITALY
V434;1944/12/4;INDONESIA
V437;1946/10/29;INDONESIA
V438;1947/1/7;PHILIPPINES
V439;1947/7/6;JAPAN
V440;1947/11/2;ICELAND
V441;1948/4/7;INDONESIA
V442;1948/9/1;PHILIPPINES
V443;1949/1/1;CHILE
V444;1949/5/26;COLOMBIA
V445;1950/8/28;INDONESIA
V446;1950/9/23;JAPAN
V447;1951/1/15;PAPUA NEW GUINEA
V448;1951/8/3;NICARAGUA
V449;1951/8/31;INDONESIA
V451;1952/9/16;JAPAN
V452;1952/9/23;JAPAN
V453;1952/9/24;JAPAN
V454;1952/9/26;JAPAN
V456;1953/3/11;JAPAN
V457;1953/3/23;INDONESIA
V458;1953/3/25;JAPAN
V459;1953/4/27;JAPAN
V460;1953/6/27;PAPUA NEW GUINEA
V462;1953/10/5;JAPAN
V464;1954/8/3;PAPUA NEW GUINEA
V466;1955/7/26;CHILE
V467;1955/10/13;JAPAN
V468;1956/3/30;RUSSIA
V469;1957/3/11;UNITED STATES
V470;1957/6/25;INDONESIA
V473;1958/7/12;INDONESIA
V474;1958/10/7;VANUATU
V475;1960/5/25;CHILE
V476;1961/1/25;CHILE
V477;1961/8/18;JAPAN
V478;1962/6/29;JAPAN
V479;1962/12/31;INDONESIA
V480;1963/3/13;COSTA RICA
V481;1963/3/17;INDONESIA
V482;1963/5/5;INDONESIA
V483;1963/5/16;INDONESIA
V484;1963/5/21;CHILE
V485;1963/9/5;INDONESIA
V486;1963/9/28;GUATEMALA
V487;1964/1/1;INDONESIA
V488;1964/3/3;CHILE
V489;1964/12/13;INDONESIA
V490;1965/9/28;PHILIPPINES
V491;1966/1/13;SOLOMON ISLANDS
V492;1966/4/26;INDONESIA
V493;1966/8/12;INDONESIA
V494;1966/8/14;TANZANIA
V495;1967/1/12;INDONESIA
V496;1967/7/8;TANZANIA
V497;1967/8/31;INDONESIA
V498;1967/12/4;ANTARCTICA
V500;1968/4/21;PHILIPPINES
V501;1968/7/29;COSTA RICA
V502;1969/1/28;INDONESIA
V503;1969/3/21;PHILIPPINES
V504;1970/5/5;ICELAND
V505;1971/8/12;CHILE
V506;1971/9/6;SOLOMON ISLANDS
V507;1971/9/14;GUATEMALA
V508;1971/10/26;SPAIN
V509;1971/10/29;CHILE
V510;1972/6/9;RÉUNION
V511;1972/10/9;PAPUA NEW GUINEA
V512;1973/1/27;ICELAND
V515;1973/4/5;CHILE
V516;1973/12/5;INDONESIA
V517;1974/2/11;INDONESIA
V518;1974/6/17;JAPAN
V519;1974/7/28;JAPAN
V520;1974/8/9;JAPAN
V521;1974/10/10;GUATEMALA
V522;1974/10/17;PAPUA NEW GUINEA
V524;1975/6/17;COSTA RICA
V525;1975/11/29;UNITED STATES
V526;1976/8/12;ECUADOR
V527;1976/8/31;INDONESIA
V528;1976/9/15;INDONESIA
V529;1977/1/10;CONGO
V530;1977/4/5;COMOROS
V531;1977/4/27;ICELAND
V532;1977/8/2;RUSSIA
V533;1978/1/13;JAPAN
V534;1978/7/29;PHILIPPINES
V535;1978/9/2;GUATEMALA
V536;1979/2/20;INDONESIA
V537;1979/3/8;PAPUA NEW GUINEA
V538;1979/7/5;ITALY
V539;1979/9/6;JAPAN
V540;1980/5/18;UNITED STATES
V541;1980/8/17;ICELAND
V542;1981/3/17;ITALY
